Security,CPI INDX Index                                                  ,
Start Date,12/31/87 0:00,
End Date,9/29/17 0:00,
Period,Q,
,,
Date,PX_LAST,FIRST_REVISION
9/29/17,245.03,#N/A N/A
6/30/17,243.79,#N/A N/A
3/31/17,243.752,#N/A N/A
12/30/16,242.821,#N/A N/A
9/30/16,241.006,#N/A N/A
6/30/16,239.842,#N/A N/A
3/31/16,238.078,#N/A N/A
12/31/15,237.846,#N/A N/A
9/30/15,237.467,#N/A N/A
6/30/15,237.419,#N/A N/A
3/31/15,235.989,#N/A N/A
12/31/14,236.29,#N/A N/A
9/30/14,237.486,#N/A N/A
6/30/14,237.029,#N/A N/A
3/31/14,235.978,#N/A N/A
12/31/13,234.723,#N/A N/A
9/30/13,233.632,#N/A N/A
6/28/13,232.374,#N/A N/A
3/29/13,232.299,#N/A N/A
12/31/12,231.221,#N/A N/A
9/28/12,231.015,#N/A N/A
6/29/12,228.524,#N/A N/A
3/30/12,228.807,#N/A N/A
12/30/11,227.223,#N/A N/A
9/30/11,226.597,#N/A N/A
6/30/11,224.806,#N/A N/A
3/31/11,223.046,#N/A N/A
12/31/10,220.472,#N/A N/A
9/30/10,218.275,#N/A N/A
6/30/10,217.199,#N/A N/A
3/31/10,217.353,#N/A N/A
12/31/09,217.347,#N/A N/A
9/30/09,215.861,#N/A N/A
6/30/09,214.79,#N/A N/A
3/31/09,212.495,#N/A N/A
12/31/08,211.398,#N/A N/A
9/30/08,218.877,#N/A N/A
6/30/08,217.463,#N/A N/A
3/31/08,213.448,#N/A N/A
12/31/07,211.445,#N/A N/A
9/28/07,208.547,#N/A N/A
6/29/07,207.234,#N/A N/A
3/30/07,205.288,#N/A N/A
12/29/06,203.1,#N/A N/A
9/29/06,202.8,#N/A N/A
6/30/06,201.8,#N/A N/A
3/31/06,199.7,#N/A N/A
12/30/05,198.1,#N/A N/A
9/30/05,198.8,#N/A N/A
6/30/05,193.7,#N/A N/A
3/31/05,193.1,#N/A N/A
12/31/04,191.7,#N/A N/A
9/30/04,189.8,#N/A N/A
6/30/04,188.9,#N/A N/A
3/31/04,187.1,#N/A N/A
12/31/03,185.5,#N/A N/A
9/30/03,185.1,#N/A N/A
6/30/03,183.1,#N/A N/A
3/31/03,183.9,#N/A N/A
12/31/02,181.8,#N/A N/A
9/30/02,180.8,#N/A N/A
6/28/02,179.6,#N/A N/A
3/29/02,178.5,#N/A N/A
12/31/01,177.4,#N/A N/A
9/28/01,178.1,#N/A N/A
6/29/01,177.7,#N/A N/A
3/30/01,176.1,#N/A N/A
12/29/00,174.6,#N/A N/A
9/29/00,173.6,#N/A N/A
6/30/00,172.2,#N/A N/A
3/31/00,171,#N/A N/A
12/31/99,168.8,#N/A N/A
9/30/99,167.8,#N/A N/A
6/30/99,166,#N/A N/A
3/31/99,164.8,#N/A N/A
12/31/98,164.4,#N/A N/A
9/30/98,163.5,#N/A N/A
6/30/98,162.8,#N/A N/A
3/31/98,162,#N/A N/A
12/31/97,161.8,#N/A N/A
9/30/97,161.2,#N/A N/A
6/30/97,160.2,#N/A N/A
3/31/97,159.8,#N/A N/A
12/31/96,159.1,#N/A N/A
9/30/96,157.7,#N/A N/A
6/28/96,156.7,#N/A N/A
3/29/96,155.5,#N/A N/A
12/29/95,153.9,#N/A N/A
9/29/95,153.1,#N/A N/A
6/30/95,152.4,#N/A N/A
3/31/95,151.2,#N/A N/A
12/30/94,150.1,#N/A N/A
9/30/94,149.3,#N/A N/A
6/30/94,147.9,#N/A N/A
3/31/94,147.1,#N/A N/A
12/31/93,146.3,#N/A N/A
9/30/93,145,#N/A N/A
6/30/93,144.3,#N/A N/A
3/31/93,143.3,#N/A N/A
12/31/92,142.3,#N/A N/A
9/30/92,141.1,#N/A N/A
6/30/92,140.1,#N/A N/A
3/31/92,139.1,#N/A N/A
12/31/91,138.2,#N/A N/A
9/30/91,137,#N/A N/A
6/28/91,136,#N/A N/A
3/29/91,134.8,#N/A N/A
12/31/90,134.2,#N/A N/A
9/28/90,132.5,#N/A N/A
6/29/90,129.9,#N/A N/A
3/30/90,128.6,#N/A N/A
12/29/89,126.3,#N/A N/A
9/29/89,124.8,#N/A N/A
6/30/89,124.1,#N/A N/A
3/31/89,122.2,#N/A N/A
12/30/88,120.7,#N/A N/A
9/30/88,119.5,#N/A N/A
6/30/88,118,#N/A N/A
3/31/88,116.5,#N/A N/A
12/31/87,115.6,#N/A N/A